model,context_id,human_average_rating,response,prevgt,all_references,context
dualencoder_train,58_2,1.4,"hmm maybe you 're right . but i ca n't stand all this green carpet here . and besides , i know how to paint . i will just cover everything with drop cloth . i wo n't get anything on the floor .","oh , yeah ? it 's better if we make a police report first . then you can go to the hospital .","all right i will drive you to the hospital	ok then we must go right away since my phone is broken	i hope your ok and i wish my cell phone did not brake	oh , yeah ? it 's better if we make a police report first . then you can go to the hospital .","i have a cell phone in my car . now it 's probably on the floor on the passenger side . why do n't you get it for me , and then i can call the police ?||||alright .||||it does n't work . it looks like it 's broken . i need to get to a hospital . you should drive me there ."
human,49_1,5.0,"yes , i would be happy to fill your gas .",sure . which kind of gas do you want ?,"sure , how much gas do you need ?	i can . what kind of gas do you want ?	yes ! gas is 1.49 a gallon , is that okay ?	sure . which kind of gas do you want ?","excuse me , may i help you ?||||would you please fill some gas for me ?"
hredf,49_1,2.4,sure . what 's your name ?,sure . which kind of gas do you want ?,"sure , how much gas do you need ?	i can . what kind of gas do you want ?	yes ! gas is 1.49 a gallon , is that okay ?	sure . which kind of gas do you want ?","excuse me , may i help you ?||||would you please fill some gas for me ?"
dualencoder_train,49_1,3.75,sure . should i check your radiator ?,sure . which kind of gas do you want ?,"sure , how much gas do you need ?	i can . what kind of gas do you want ?	yes ! gas is 1.49 a gallon , is that okay ?	sure . which kind of gas do you want ?","excuse me , may i help you ?||||would you please fill some gas for me ?"
seq2seqf,49_1,2.0,"no , sir . you can take a few minutes .",sure . which kind of gas do you want ?,"sure , how much gas do you need ?	i can . what kind of gas do you want ?	yes ! gas is 1.49 a gallon , is that okay ?	sure . which kind of gas do you want ?","excuse me , may i help you ?||||would you please fill some gas for me ?"
CVAEf,49_1,1.25,"sure , we have many kinds of facials . would you mind coming with me ?",sure . which kind of gas do you want ?,"sure , how much gas do you need ?	i can . what kind of gas do you want ?	yes ! gas is 1.49 a gallon , is that okay ?	sure . which kind of gas do you want ?","excuse me , may i help you ?||||would you please fill some gas for me ?"
CVAEf,0_6,2.0,"oh , i guess you 're right . i want to get a _UNK .",do you really have all of these drugs ? where do you get them from ?,"i 'm really not interested .	i wish you would n't pressure me so much .	good luck , but i 'm good .	do you really have all of these drugs ? where do you get them from ?","hey man , you wanna buy some weed ?||||some what ?||||weed ! you know ? pot , ganja , mary jane some chronic !||||oh , umm , no thanks .||||i also have blow if you prefer to do a few lines .||||no , i am ok , really .||||come on man ! i even got dope and acid ! try some !"
dualencoder_train,0_6,1.8,"hey ! i thought you were n't interested ! sorry , i 've got ta go ! i 'm going to switch over to ebay and see if my bid is still the highest .",do you really have all of these drugs ? where do you get them from ?,"i 'm really not interested .	i wish you would n't pressure me so much .	good luck , but i 'm good .	do you really have all of these drugs ? where do you get them from ?","hey man , you wanna buy some weed ?||||some what ?||||weed ! you know ? pot , ganja , mary jane some chronic !||||oh , umm , no thanks .||||i also have blow if you prefer to do a few lines .||||no , i am ok , really .||||come on man ! i even got dope and acid ! try some !"
seq2seqf,0_6,2.5,i 'm so sorry . i 'm not sure .,do you really have all of these drugs ? where do you get them from ?,"i 'm really not interested .	i wish you would n't pressure me so much .	good luck , but i 'm good .	do you really have all of these drugs ? where do you get them from ?","hey man , you wanna buy some weed ?||||some what ?||||weed ! you know ? pot , ganja , mary jane some chronic !||||oh , umm , no thanks .||||i also have blow if you prefer to do a few lines .||||no , i am ok , really .||||come on man ! i even got dope and acid ! try some !"
hredf,0_6,1.4,i swear . i love you .,do you really have all of these drugs ? where do you get them from ?,"i 'm really not interested .	i wish you would n't pressure me so much .	good luck , but i 'm good .	do you really have all of these drugs ? where do you get them from ?","hey man , you wanna buy some weed ?||||some what ?||||weed ! you know ? pot , ganja , mary jane some chronic !||||oh , umm , no thanks .||||i also have blow if you prefer to do a few lines .||||no , i am ok , really .||||come on man ! i even got dope and acid ! try some !"
human,0_6,5.0,no thank you .,do you really have all of these drugs ? where do you get them from ?,"i 'm really not interested .	i wish you would n't pressure me so much .	good luck , but i 'm good .	do you really have all of these drugs ? where do you get them from ?","hey man , you wanna buy some weed ?||||some what ?||||weed ! you know ? pot , ganja , mary jane some chronic !||||oh , umm , no thanks .||||i also have blow if you prefer to do a few lines .||||no , i am ok , really .||||come on man ! i even got dope and acid ! try some !"
seq2seqf,4_2,3.0,i 'm not sure . i 'm not sure .,"i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","i 'm a follower .   once i 'm told what to do i get it down .	leader .   i like to lead groups toward success .	it depends the situation .   i can be a leader if needed but i can just as easily support someone else in realizing their idea .	i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","what are your personal weaknesses ?||||i 'm afraid i 'm a poor talker . i 'm not comfortable talking with the people whom i have just met for the first time . that is not very good for business , so i have been studying public speaking .||||are you more of a leader or a follower ?"
dualencoder_train,4_2,2.2,"yes , in some ways it was a step down from my previous job but it did offer me much better prospects for the future .","i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","i 'm a follower .   once i 'm told what to do i get it down .	leader .   i like to lead groups toward success .	it depends the situation .   i can be a leader if needed but i can just as easily support someone else in realizing their idea .	i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","what are your personal weaknesses ?||||i 'm afraid i 'm a poor talker . i 'm not comfortable talking with the people whom i have just met for the first time . that is not very good for business , so i have been studying public speaking .||||are you more of a leader or a follower ?"
CVAEf,4_2,2.2,i think i 'm not a member of doing well with other people . i used to be a professional professional principles and the other teachers .,"i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","i 'm a follower .   once i 'm told what to do i get it down .	leader .   i like to lead groups toward success .	it depends the situation .   i can be a leader if needed but i can just as easily support someone else in realizing their idea .	i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","what are your personal weaknesses ?||||i 'm afraid i 'm a poor talker . i 'm not comfortable talking with the people whom i have just met for the first time . that is not very good for business , so i have been studying public speaking .||||are you more of a leader or a follower ?"
hredf,4_2,1.8,i think i am going to be a regular approach .,"i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","i 'm a follower .   once i 'm told what to do i get it down .	leader .   i like to lead groups toward success .	it depends the situation .   i can be a leader if needed but i can just as easily support someone else in realizing their idea .	i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","what are your personal weaknesses ?||||i 'm afraid i 'm a poor talker . i 'm not comfortable talking with the people whom i have just met for the first time . that is not very good for business , so i have been studying public speaking .||||are you more of a leader or a follower ?"
human,4_2,4.2,a follower,"i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","i 'm a follower .   once i 'm told what to do i get it down .	leader .   i like to lead groups toward success .	it depends the situation .   i can be a leader if needed but i can just as easily support someone else in realizing their idea .	i do n't try to lead people . i 'd rather cooperate with everybody , and get the job done by working together .","what are your personal weaknesses ?||||i 'm afraid i 'm a poor talker . i 'm not comfortable talking with the people whom i have just met for the first time . that is not very good for business , so i have been studying public speaking .||||are you more of a leader or a follower ?"
human,15_1,4.4,alexander hamilton,"sure , john sandals .","billy bob	it 's billy bob	my name is billy bob	sure , john sandals .","hi there , i want to reserve a hotel room .||||no problem at all . could i have your full name , please ?"
hredf,15_1,3.6,"yes , my name is paul .","sure , john sandals .","billy bob	it 's billy bob	my name is billy bob	sure , john sandals .","hi there , i want to reserve a hotel room .||||no problem at all . could i have your full name , please ?"
CVAEf,15_1,3.3333333333333335,my name is james .,"sure , john sandals .","billy bob	it 's billy bob	my name is billy bob	sure , john sandals .","hi there , i want to reserve a hotel room .||||no problem at all . could i have your full name , please ?"
seq2seqf,15_1,1.3333333333333333,i 'd like to book a table for six .,"sure , john sandals .","billy bob	it 's billy bob	my name is billy bob	sure , john sandals .","hi there , i want to reserve a hotel room .||||no problem at all . could i have your full name , please ?"
dualencoder_train,15_1,1.3333333333333333,"full - size , please . what 's the rate ?","sure , john sandals .","billy bob	it 's billy bob	my name is billy bob	sure , john sandals .","hi there , i want to reserve a hotel room .||||no problem at all . could i have your full name , please ?"
dualencoder_train,67_1,1.0,sure . we 'd like to have black forest cake for dessert .,are you interested in the natural landscape or the human landscape ?,"yes , i have many suggestions for a short tour .	yes , i can suggest a short tour .	yeah , i have a really good suggestion for a short tour .	are you interested in the natural landscape or the human landscape ?","may i help you ?||||yes . i have to stay in your cry for just one day , can you suggest a short tour ?"
seq2seqf,67_1,1.4,"yes , we have .",are you interested in the natural landscape or the human landscape ?,"yes , i have many suggestions for a short tour .	yes , i can suggest a short tour .	yeah , i have a really good suggestion for a short tour .	are you interested in the natural landscape or the human landscape ?","may i help you ?||||yes . i have to stay in your cry for just one day , can you suggest a short tour ?"
CVAEf,67_1,1.0,"ok , you are right . i have to take a look at this bracelet .",are you interested in the natural landscape or the human landscape ?,"yes , i have many suggestions for a short tour .	yes , i can suggest a short tour .	yeah , i have a really good suggestion for a short tour .	are you interested in the natural landscape or the human landscape ?","may i help you ?||||yes . i have to stay in your cry for just one day , can you suggest a short tour ?"
human,67_1,4.6,would you prefer walking or a bus ?,are you interested in the natural landscape or the human landscape ?,"yes , i have many suggestions for a short tour .	yes , i can suggest a short tour .	yeah , i have a really good suggestion for a short tour .	are you interested in the natural landscape or the human landscape ?","may i help you ?||||yes . i have to stay in your cry for just one day , can you suggest a short tour ?"
hredf,67_1,3.6666666666666665,sure . what do you want to know ?,are you interested in the natural landscape or the human landscape ?,"yes , i have many suggestions for a short tour .	yes , i can suggest a short tour .	yeah , i have a really good suggestion for a short tour .	are you interested in the natural landscape or the human landscape ?","may i help you ?||||yes . i have to stay in your cry for just one day , can you suggest a short tour ?"
CVAEf,83_0,1.4,i have n't heard of it .,i 'm going to quit the job .,"my dog died this morning .	i just got fired from work .	i do nt feel very good ,	i 'm going to quit the job .","you look upset , anything wrong ?"
hredf,83_0,1.4,"yes , i have .",i 'm going to quit the job .,"my dog died this morning .	i just got fired from work .	i do nt feel very good ,	i 'm going to quit the job .","you look upset , anything wrong ?"
seq2seqf,83_0,1.6,"no , i have n't . i 'm not sure .",i 'm going to quit the job .,"my dog died this morning .	i just got fired from work .	i do nt feel very good ,	i 'm going to quit the job .","you look upset , anything wrong ?"
dualencoder_train,83_0,1.8,"yes , one last thing . how much holiday time do you give your employees every year ?",i 'm going to quit the job .,"my dog died this morning .	i just got fired from work .	i do nt feel very good ,	i 'm going to quit the job .","you look upset , anything wrong ?"
human,83_0,5.0,"no , just tired",i 'm going to quit the job .,"my dog died this morning .	i just got fired from work .	i do nt feel very good ,	i 'm going to quit the job .","you look upset , anything wrong ?"
CVAEf,89_4,1.75,"yes , i have . i want to invite her for a moment .","no , but if she has any questions , she can call me at 555 - 2345 .","tell her to show up early .	make sure you do nt forget .	nope , that s it .	no , but if she has any questions , she can call me at 555 - 2345 .","hello ?||||hi , mr . smith . this is mary . is jenny there ?||||no , i 'm afraid not , mary . may i take a message for her ?||||yes , please tell her that band practice has been moved to tuesday night at eight thirty .||||o . k . no problem . anything else ?"
human,89_4,4.4,"it is important , could you please be sure she gets the message .","no , but if she has any questions , she can call me at 555 - 2345 .","tell her to show up early .	make sure you do nt forget .	nope , that s it .	no , but if she has any questions , she can call me at 555 - 2345 .","hello ?||||hi , mr . smith . this is mary . is jenny there ?||||no , i 'm afraid not , mary . may i take a message for her ?||||yes , please tell her that band practice has been moved to tuesday night at eight thirty .||||o . k . no problem . anything else ?"
hredf,89_4,2.0,sure . i 'll be back in the afternoon .,"no , but if she has any questions , she can call me at 555 - 2345 .","tell her to show up early .	make sure you do nt forget .	nope , that s it .	no , but if she has any questions , she can call me at 555 - 2345 .","hello ?||||hi , mr . smith . this is mary . is jenny there ?||||no , i 'm afraid not , mary . may i take a message for her ?||||yes , please tell her that band practice has been moved to tuesday night at eight thirty .||||o . k . no problem . anything else ?"
seq2seqf,89_4,1.4,"no , i 'm not sure . i 'm not sure .","no , but if she has any questions , she can call me at 555 - 2345 .","tell her to show up early .	make sure you do nt forget .	nope , that s it .	no , but if she has any questions , she can call me at 555 - 2345 .","hello ?||||hi , mr . smith . this is mary . is jenny there ?||||no , i 'm afraid not , mary . may i take a message for her ?||||yes , please tell her that band practice has been moved to tuesday night at eight thirty .||||o . k . no problem . anything else ?"
dualencoder_train,89_4,1.5,"mrs . davinson . mary davison . m - a - r - y , mary . d - a - v - i - n - s - o - n . davison .","no , but if she has any questions , she can call me at 555 - 2345 .","tell her to show up early .	make sure you do nt forget .	nope , that s it .	no , but if she has any questions , she can call me at 555 - 2345 .","hello ?||||hi , mr . smith . this is mary . is jenny there ?||||no , i 'm afraid not , mary . may i take a message for her ?||||yes , please tell her that band practice has been moved to tuesday night at eight thirty .||||o . k . no problem . anything else ?"
seq2seqf,60_0,3.4,"i 'm sorry , but i 'm not sure .","well , we could probably get started with a preparatory meeting this afternoon at 2:00 .","yes need to start working on this right away	ok we got a little bit distracted	how about 5:00 pm tonight we start the work	well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",all right . i want to bring everybody back on this subject . when can we start working on this ?
dualencoder_train,60_0,2.0,we 're going to that new restaurant for lunch . would you like to join us ?,"well , we could probably get started with a preparatory meeting this afternoon at 2:00 .","yes need to start working on this right away	ok we got a little bit distracted	how about 5:00 pm tonight we start the work	well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",all right . i want to bring everybody back on this subject . when can we start working on this ?
human,60_0,4.666666666666667,i 'm hoping we can start working on it early next week .,"well , we could probably get started with a preparatory meeting this afternoon at 2:00 .","yes need to start working on this right away	ok we got a little bit distracted	how about 5:00 pm tonight we start the work	well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",all right . i want to bring everybody back on this subject . when can we start working on this ?
hredf,60_0,1.3333333333333333,"yes , i think so .","well , we could probably get started with a preparatory meeting this afternoon at 2:00 .","yes need to start working on this right away	ok we got a little bit distracted	how about 5:00 pm tonight we start the work	well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",all right . i want to bring everybody back on this subject . when can we start working on this ?
CVAEf,60_0,4.666666666666667,we should start getting on tuesday afternoon .,"well , we could probably get started with a preparatory meeting this afternoon at 2:00 .","yes need to start working on this right away	ok we got a little bit distracted	how about 5:00 pm tonight we start the work	well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",all right . i want to bring everybody back on this subject . when can we start working on this ?
dualencoder_train,11_0,1.25,"no , i 've been coming for the last 3 years . each year keeps getting better . where are you from ?",i 'm free . what 's up ?,no . i 'm free .	yes .   i have a doctor 's appointment .	i 'll have to check my calendar .	i 'm free . what 's up ?,are you busy tomorrow morning ?
human,11_0,4.8,"i 'm busy at 8:00 a.m. with a breakfast meeting , but i 'm free at 9:00 a.m. and afterwards . would you like to set up a meeting ?",i 'm free . what 's up ?,no . i 'm free .	yes .   i have a doctor 's appointment .	i 'll have to check my calendar .	i 'm free . what 's up ?,are you busy tomorrow morning ?
hredf,11_0,2.75,"yes , i am . i am going to meet you .",i 'm free . what 's up ?,no . i 'm free .	yes .   i have a doctor 's appointment .	i 'll have to check my calendar .	i 'm free . what 's up ?,are you busy tomorrow morning ?
seq2seqf,11_0,3.2,"no , i 'm not sure .",i 'm free . what 's up ?,no . i 'm free .	yes .   i have a doctor 's appointment .	i 'll have to check my calendar .	i 'm free . what 's up ?,are you busy tomorrow morning ?
CVAEf,11_0,1.75,"yes , i am going to work with .",i 'm free . what 's up ?,no . i 'm free .	yes .   i have a doctor 's appointment .	i 'll have to check my calendar .	i 'm free . what 's up ?,are you busy tomorrow morning ?
human,1_2,3.6,that s fair,it is really a hot potato .,that 's reasonable .   gas is expensive for everyone .	maybe they should just charge more fare ?	maybe they can drive electric cars as taxis ?	it is really a hot potato .,the taxi drivers are on strike again .||||what for ?||||they want the government to reduce the price of the gasoline .
seq2seqf,1_2,3.2,that 's a lot of money .,it is really a hot potato .,that 's reasonable .   gas is expensive for everyone .	maybe they should just charge more fare ?	maybe they can drive electric cars as taxis ?	it is really a hot potato .,the taxi drivers are on strike again .||||what for ?||||they want the government to reduce the price of the gasoline .
hredf,1_2,1.0,what do you think is the source of the rail ?,it is really a hot potato .,that 's reasonable .   gas is expensive for everyone .	maybe they should just charge more fare ?	maybe they can drive electric cars as taxis ?	it is really a hot potato .,the taxi drivers are on strike again .||||what for ?||||they want the government to reduce the price of the gasoline .
dualencoder_train,1_2,4.25,"they do n't pay a lot , do they ?",it is really a hot potato .,that 's reasonable .   gas is expensive for everyone .	maybe they should just charge more fare ?	maybe they can drive electric cars as taxis ?	it is really a hot potato .,the taxi drivers are on strike again .||||what for ?||||they want the government to reduce the price of the gasoline .
CVAEf,1_2,1.0,is there any difference between the _UNK ?,it is really a hot potato .,that 's reasonable .   gas is expensive for everyone .	maybe they should just charge more fare ?	maybe they can drive electric cars as taxis ?	it is really a hot potato .,the taxi drivers are on strike again .||||what for ?||||they want the government to reduce the price of the gasoline .
seq2seqf,64_0,2.2,i think that i should be able to get a new one .,no idea . your guess is as good as mine .,i do n't think we 'll get too much .	i hope we will get at least 5 % !	i do n't think it 's appropriate to speculate .	no idea . your guess is as good as mine .,"the boss announces the pay raise today , right ? how much do you think we 'll get ?"
hredf,64_0,3.6,"well , i think we should get more money .",no idea . your guess is as good as mine .,i do n't think we 'll get too much .	i hope we will get at least 5 % !	i do n't think it 's appropriate to speculate .	no idea . your guess is as good as mine .,"the boss announces the pay raise today , right ? how much do you think we 'll get ?"
human,64_0,5.0,"i 'm hoping to get at least 3 % , but more would be nice .",no idea . your guess is as good as mine .,i do n't think we 'll get too much .	i hope we will get at least 5 % !	i do n't think it 's appropriate to speculate .	no idea . your guess is as good as mine .,"the boss announces the pay raise today , right ? how much do you think we 'll get ?"
dualencoder_train,64_0,1.25,"magazines about fashions , such as cosmo polian .",no idea . your guess is as good as mine .,i do n't think we 'll get too much .	i hope we will get at least 5 % !	i do n't think it 's appropriate to speculate .	no idea . your guess is as good as mine .,"the boss announces the pay raise today , right ? how much do you think we 'll get ?"
CVAEf,64_0,1.5,i think that the first thing is to get rid of these components .,no idea . your guess is as good as mine .,i do n't think we 'll get too much .	i hope we will get at least 5 % !	i do n't think it 's appropriate to speculate .	no idea . your guess is as good as mine .,"the boss announces the pay raise today , right ? how much do you think we 'll get ?"
seq2seqf,74_4,3.25,i 'm not sure .,"but i am her brother , not her servant .","i do nt like her	she s annoying	she never stops bugging me	but i am her brother , not her servant .","tom , is jenny crying ?||||can you take he away from me ?||||i 'm just coming for that .||||she kept bothering me .||||she 's your sister . what she asked was only duck soup for you . why ca n't you be good to her ?"
CVAEf,74_4,2.0,"she 's not going to have her , but she 's in love with me .","but i am her brother , not her servant .","i do nt like her	she s annoying	she never stops bugging me	but i am her brother , not her servant .","tom , is jenny crying ?||||can you take he away from me ?||||i 'm just coming for that .||||she kept bothering me .||||she 's your sister . what she asked was only duck soup for you . why ca n't you be good to her ?"
human,74_4,4.25,"you 're right , i should be a better brother .","but i am her brother , not her servant .","i do nt like her	she s annoying	she never stops bugging me	but i am her brother , not her servant .","tom , is jenny crying ?||||can you take he away from me ?||||i 'm just coming for that .||||she kept bothering me .||||she 's your sister . what she asked was only duck soup for you . why ca n't you be good to her ?"
hredf,74_4,2.2,i do n't know . but i do n't know .,"but i am her brother , not her servant .","i do nt like her	she s annoying	she never stops bugging me	but i am her brother , not her servant .","tom , is jenny crying ?||||can you take he away from me ?||||i 'm just coming for that .||||she kept bothering me .||||she 's your sister . what she asked was only duck soup for you . why ca n't you be good to her ?"
dualencoder_train,74_4,1.5,miss li . li lin .,"but i am her brother , not her servant .","i do nt like her	she s annoying	she never stops bugging me	but i am her brother , not her servant .","tom , is jenny crying ?||||can you take he away from me ?||||i 'm just coming for that .||||she kept bothering me .||||she 's your sister . what she asked was only duck soup for you . why ca n't you be good to her ?"
human,78_3,4.5,"yes , that would be fine . tell me what you think !",sure . let me help you .,"yes ! let me walk you to the dressing rooms	no , i am sorry there are no dressing rooms .	of course ! would you like anything else ?	sure . let me help you .","what can i show you ?||||do you have this shirt in a small ?||||let me check . yes , we have .||||may i try it on ?"
CVAEf,78_3,3.6,sure .,sure . let me help you .,"yes ! let me walk you to the dressing rooms	no , i am sorry there are no dressing rooms .	of course ! would you like anything else ?	sure . let me help you .","what can i show you ?||||do you have this shirt in a small ?||||let me check . yes , we have .||||may i try it on ?"
dualencoder_train,78_3,4.5,sure . the fitting room is in the corner .,sure . let me help you .,"yes ! let me walk you to the dressing rooms	no , i am sorry there are no dressing rooms .	of course ! would you like anything else ?	sure . let me help you .","what can i show you ?||||do you have this shirt in a small ?||||let me check . yes , we have .||||may i try it on ?"
hredf,78_3,3.6,sure .,sure . let me help you .,"yes ! let me walk you to the dressing rooms	no , i am sorry there are no dressing rooms .	of course ! would you like anything else ?	sure . let me help you .","what can i show you ?||||do you have this shirt in a small ?||||let me check . yes , we have .||||may i try it on ?"
seq2seqf,78_3,2.25,"no , it 's a bit expensive .",sure . let me help you .,"yes ! let me walk you to the dressing rooms	no , i am sorry there are no dressing rooms .	of course ! would you like anything else ?	sure . let me help you .","what can i show you ?||||do you have this shirt in a small ?||||let me check . yes , we have .||||may i try it on ?"
human,30_6,3.2,my name is,my name is ron kollwitz .,name is bill	my name is bill .	they call me bill !	my name is ron kollwitz .,"pompous . how may i help you ?||||yes , i 'd like to reserve a table for dinner .||||how large a group are you expecting ?||||six couples .||||would you like to reserve a private dining room ?||||that sounds like a good idea .||||all right . may i have your name , sir ?"
hredf,30_6,4.6,my name is paul .,my name is ron kollwitz .,name is bill	my name is bill .	they call me bill !	my name is ron kollwitz .,"pompous . how may i help you ?||||yes , i 'd like to reserve a table for dinner .||||how large a group are you expecting ?||||six couples .||||would you like to reserve a private dining room ?||||that sounds like a good idea .||||all right . may i have your name , sir ?"
CVAEf,30_6,1.2,_UNK .,my name is ron kollwitz .,name is bill	my name is bill .	they call me bill !	my name is ron kollwitz .,"pompous . how may i help you ?||||yes , i 'd like to reserve a table for dinner .||||how large a group are you expecting ?||||six couples .||||would you like to reserve a private dining room ?||||that sounds like a good idea .||||all right . may i have your name , sir ?"
dualencoder_train,30_6,1.2,"french dressing , please .",my name is ron kollwitz .,name is bill	my name is bill .	they call me bill !	my name is ron kollwitz .,"pompous . how may i help you ?||||yes , i 'd like to reserve a table for dinner .||||how large a group are you expecting ?||||six couples .||||would you like to reserve a private dining room ?||||that sounds like a good idea .||||all right . may i have your name , sir ?"
seq2seqf,30_6,1.6,i 'd like to have a reservation .,my name is ron kollwitz .,name is bill	my name is bill .	they call me bill !	my name is ron kollwitz .,"pompous . how may i help you ?||||yes , i 'd like to reserve a table for dinner .||||how large a group are you expecting ?||||six couples .||||would you like to reserve a private dining room ?||||that sounds like a good idea .||||all right . may i have your name , sir ?"
dualencoder_train,77_7,2.5,it 's called forex . foreign exchange . the great thing about it is that i do n't have to invest a huge amount . i put in a margin deposit and then i can buy and sell up to 100 times that much !,"the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","where will you be working ?	great . i m so proud of you .	wow . that s so great .	the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","amelia , could you spare a few minutes ?||||sure . what do you need ?||||well , i wanted to let you know that i 've put in my notice .||||really ? why ?||||it 's complicated . but basically it boils down to one thing . this company is downsizing and i ca n't continue working for a company that may let me go .||||but surely they wo n't fire you ! you 're one of the most experienced managers here !||||well , to be honest , there 's another reason . i 've got a better offer .||||well that 's great news ! congratulations ! where will you be located ?"
seq2seqf,77_7,4.25,i 'm not sure .,"the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","where will you be working ?	great . i m so proud of you .	wow . that s so great .	the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","amelia , could you spare a few minutes ?||||sure . what do you need ?||||well , i wanted to let you know that i 've put in my notice .||||really ? why ?||||it 's complicated . but basically it boils down to one thing . this company is downsizing and i ca n't continue working for a company that may let me go .||||but surely they wo n't fire you ! you 're one of the most experienced managers here !||||well , to be honest , there 's another reason . i 've got a better offer .||||well that 's great news ! congratulations ! where will you be located ?"
CVAEf,77_7,1.5,"i think i 'm going to get a jar of money , but i think i should get more money to do that .","the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","where will you be working ?	great . i m so proud of you .	wow . that s so great .	the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","amelia , could you spare a few minutes ?||||sure . what do you need ?||||well , i wanted to let you know that i 've put in my notice .||||really ? why ?||||it 's complicated . but basically it boils down to one thing . this company is downsizing and i ca n't continue working for a company that may let me go .||||but surely they wo n't fire you ! you 're one of the most experienced managers here !||||well , to be honest , there 's another reason . i 've got a better offer .||||well that 's great news ! congratulations ! where will you be located ?"
hredf,77_7,2.0,i 'm going to have a try .,"the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","where will you be working ?	great . i m so proud of you .	wow . that s so great .	the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","amelia , could you spare a few minutes ?||||sure . what do you need ?||||well , i wanted to let you know that i 've put in my notice .||||really ? why ?||||it 's complicated . but basically it boils down to one thing . this company is downsizing and i ca n't continue working for a company that may let me go .||||but surely they wo n't fire you ! you 're one of the most experienced managers here !||||well , to be honest , there 's another reason . i 've got a better offer .||||well that 's great news ! congratulations ! where will you be located ?"
human,77_7,4.75,it 's actually still in the city but it 's about a 20 minute drive from here .,"the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","where will you be working ?	great . i m so proud of you .	wow . that s so great .	the head office is in new york , but i 'll be dealing with overseas companies and flying to this side of the world from time to time .","amelia , could you spare a few minutes ?||||sure . what do you need ?||||well , i wanted to let you know that i 've put in my notice .||||really ? why ?||||it 's complicated . but basically it boils down to one thing . this company is downsizing and i ca n't continue working for a company that may let me go .||||but surely they wo n't fire you ! you 're one of the most experienced managers here !||||well , to be honest , there 's another reason . i 've got a better offer .||||well that 's great news ! congratulations ! where will you be located ?"
dualencoder_train,19_2,2.2,do you receive traveler 's checks ?,"yes , but 4 of them are broken . can you send someone here ?","i have many devices i need to charge .	is that the standard number in a hotel room ?	some of the outlets are already in use , by the television and lamps .	yes , but 4 of them are broken . can you send someone here ?","room service , is there anything i can do for you ?||||yes , i am afraid there are not enough outlets .||||well , we have 6 for each room ."
seq2seqf,19_2,2.2,i 'm sorry . i 'm afraid i ca n't .,"yes , but 4 of them are broken . can you send someone here ?","i have many devices i need to charge .	is that the standard number in a hotel room ?	some of the outlets are already in use , by the television and lamps .	yes , but 4 of them are broken . can you send someone here ?","room service , is there anything i can do for you ?||||yes , i am afraid there are not enough outlets .||||well , we have 6 for each room ."
CVAEf,19_2,1.5,yes . can you arrange it for me ?,"yes , but 4 of them are broken . can you send someone here ?","i have many devices i need to charge .	is that the standard number in a hotel room ?	some of the outlets are already in use , by the television and lamps .	yes , but 4 of them are broken . can you send someone here ?","room service , is there anything i can do for you ?||||yes , i am afraid there are not enough outlets .||||well , we have 6 for each room ."
human,19_2,4.75,i have 8 different devices to charge,"yes , but 4 of them are broken . can you send someone here ?","i have many devices i need to charge .	is that the standard number in a hotel room ?	some of the outlets are already in use , by the television and lamps .	yes , but 4 of them are broken . can you send someone here ?","room service , is there anything i can do for you ?||||yes , i am afraid there are not enough outlets .||||well , we have 6 for each room ."
hredf,19_2,1.75,"i 'm sorry , but i 'm afraid i ca n't .","yes , but 4 of them are broken . can you send someone here ?","i have many devices i need to charge .	is that the standard number in a hotel room ?	some of the outlets are already in use , by the television and lamps .	yes , but 4 of them are broken . can you send someone here ?","room service , is there anything i can do for you ?||||yes , i am afraid there are not enough outlets .||||well , we have 6 for each room ."
